type,Week,N,estimate,lower.ci,upper.ci
Blood donors,Combined,2500,0.1266868,0.113790211820976,0.140812795660453
Blood donors,Wk17,100,0.0592700000000006,0.0271533208044157,0.124512076637543
Blood donors,Wk18,100,0.0302400000000004,0.010326604869429,0.0852459431820942
Blood donors,Wk19,100,0.0810199999999992,0.0413906508816462,0.152554058682654
Blood donors,Wk20,100,0.0874400000000006,0.0453130202767608,0.162082676377827
Blood donors,Wk21,100,0.0597700000000006,0.0274170563561364,0.125378804739303
Blood donors,Wk22,100,0.0503899999999994,0.0216047983745999,0.113094065262335
Blood donors,Wk23,100,0.0985799999999994,0.0534938764864415,0.174654039878412
Blood donors,Wk24,100,0.0480499999999994,0.0198999250785395,0.111490888035503
Blood donors,Wk25,100,0.0614500000000003,0.0276939986010648,0.130815241946369
Blood donors,Wk30,100,0.13842,0.0813073499624648,0.225790394498818
Blood donors,Wk31,100,0.0854700000000007,0.0439368869031588,0.159705630804312
Blood donors,Wk32,100,0.13067,0.0763693081184733,0.214608975642257
Blood donors,Wk33,100,0.118950000000001,0.0686480826700126,0.198264257591881
Blood donors,Wk34,100,0.17445,0.110857253085101,0.263703233185143
Blood donors,Wk4,100,0.208209999999999,0.137770783141806,0.302047195591469
Blood donors,Wk45,100,0.169449999999999,0.107917913004613,0.255998172188791
Blood donors,Wk46,100,0.24839,0.171679437558553,0.345096517236595
Blood donors,Wk47,100,0.195209999999999,0.127214105748911,0.287574741499888
Blood donors,Wk48,100,0.166529999999999,0.104939524244673,0.254010217957185
Blood donors,Wk49,100,0.11253,0.0631890497710398,0.192482536363224
Blood donors,Wk5,100,0.17435,0.109501298657831,0.266126066919848
Blood donors,Wk50,100,0.1478,0.0900297277549135,0.233142622030607
Blood donors,Wk6,100,0.13297,0.0770133635576892,0.219897416003694
Blood donors,Wk7,100,0.18308,0.11588533435455,0.27702831261522
Blood donors,Wk8,100,0.204479999999999,0.133729444281848,0.299711291318162
Pregnant volunteers,Combined,2500,0.0954455999999999,0.0840468814726055,0.108207619537551
Pregnant volunteers,Wk17,100,0.02597,0.00767554371602428,0.084170233670046
Pregnant volunteers,Wk18,100,0.0564399999999999,0.0246146692918399,0.124175087732833
Pregnant volunteers,Wk19,100,0.076339999999999,0.0379524469406243,0.147598226870771
Pregnant volunteers,Wk20,100,0.0596600000000006,0.0273568862119195,0.125196967445513
Pregnant volunteers,Wk21,100,0.0899400000000017,0.0477601314290855,0.162995104158301
Pregnant volunteers,Wk22,100,0.0204299999999997,0.00561401355150897,0.0715341244995703
Pregnant volunteers,Wk23,100,0.0695299999999998,0.0333377995834386,0.139349202881154
Pregnant volunteers,Wk24,100,0.0899400000000018,0.0478317494710153,0.162780531839211
Pregnant volunteers,Wk25,100,0.0672500000000001,0.031647996825288,0.137226473149467
Pregnant volunteers,Wk30,100,0.12557,0.071917171328993,0.210184804734414
Pregnant volunteers,Wk31,100,0.0977899999999998,0.0525131961986575,0.174898376687393
Pregnant volunteers,Wk32,100,0.0953500000000002,0.0504878096208386,0.172820085410631
Pregnant volunteers,Wk33,100,0.0978200000000001,0.0528577242867287,0.174002146506037
Pregnant volunteers,Wk34,100,0.0848800000000001,0.0431540673451121,0.16019637142103
Pregnant volunteers,Wk4,100,0.17151,0.107267659391466,0.262896716461535
Pregnant volunteers,Wk45,100,0.0662700000000002,0.0305618902428933,0.137769908012814
Pregnant volunteers,Wk46,100,0.03566,0.0123700258510434,0.0984295784307167
Pregnant volunteers,Wk47,100,0.0722499999999996,0.0344985881563397,0.14510379103675
Pregnant volunteers,Wk48,100,0.0975099999999999,0.0511666663153482,0.177955580966387
Pregnant volunteers,Wk49,100,0.11791,0.0671473840980555,0.198867482801062
Pregnant volunteers,Wk5,100,0.210699999999999,0.140326328030823,0.303890387011159
Pregnant volunteers,Wk50,100,0.166769999999999,0.104853404488736,0.254839836928564
Pregnant volunteers,Wk6,100,0.16186,0.10003751458968,0.251223237434486
Pregnant volunteers,Wk7,100,0.12764,0.0725638742389803,0.214835600420462
Pregnant volunteers,Wk8,100,0.10115,0.0527575770869993,0.185249923192647
Combined,Combined,5000,0.1110662,0.102311855719018,0.120469087963224
Combined,Wk17,200,0.0426200000000001,0.0218208243976509,0.0815908831808912
Combined,Wk18,200,0.0433400000000001,0.0222413451121278,0.0827592495297801
Combined,Wk19,200,0.0786799999999996,0.0483648793731997,0.125490939493346
Combined,Wk20,200,0.0735500000000002,0.0443362494677178,0.119603975787209
Combined,Wk21,200,0.0748550000000009,0.0456488141663267,0.120390116621215
Combined,Wk22,200,0.0354099999999998,0.0171965797310484,0.0715102105597574
Combined,Wk23,200,0.0840549999999994,0.0523793535653499,0.132213441881512
Combined,Wk24,200,0.0689949999999998,0.0410773745665395,0.113637917879986
Combined,Wk25,200,0.06435,0.0370352831886119,0.109519033994872
Combined,Wk30,200,0.131995,0.0898480968991179,0.189789921829404
Combined,Wk31,200,0.0916300000000001,0.0580806405636485,0.14164439136321
Combined,Wk32,200,0.11301,0.0748757605856362,0.167058832877037
Combined,Wk33,200,0.108385,0.0719068191407372,0.16017475264179
Combined,Wk34,200,0.129665,0.088750314099582,0.185599971184654
Combined,Wk4,200,0.18986,0.139611557937938,0.252878205769298
Combined,Wk45,200,0.11786,0.0794377413420491,0.171405962474237
Combined,Wk46,200,0.142025,0.0990627420086789,0.199493736981812
Combined,Wk47,200,0.13373,0.0919227389551111,0.190561386091707
Combined,Wk48,200,0.13202,0.0904807918320366,0.188673591110965
Combined,Wk49,200,0.11522,0.0769467675452865,0.169043929571673
Combined,Wk5,200,0.192524999999999,0.141958171913947,0.255735693200383
